cohort_name,n_train,n_test,in_sample_delta_ll,sigma_per_event,delta_ll_true_nats,threshold_nats,detection_probability,monte_carlo_se,sigma_total,n_replicates
main,10,2,0.784494,0.248079,0.000000,5.000000,0.000000,0.000000,0.350836,20000
main,10,2,0.784494,0.248079,0.500000,5.000000,0.000000,0.000000,0.350836,20000
main,10,2,0.784494,0.248079,1.000000,5.000000,0.000000,0.000000,0.350836,20000
main,10,2,0.784494,0.248079,2.000000,5.000000,0.000000,0.000000,0.350836,20000
main,10,2,0.784494,0.248079,5.000000,5.000000,0.501500,0.003536,0.350836,20000
main,10,2,0.784494,0.248079,10.000000,5.000000,1.000000,0.000000,0.350836,20000
main,10,2,0.784494,0.248079,20.000000,5.000000,1.000000,0.000000,0.350836,20000
robustness_symbol,9,2,0.009628,0.003209,0.000000,5.000000,0.000000,0.000000,0.004539,20000
robustness_symbol,9,2,0.009628,0.003209,0.500000,5.000000,0.000000,0.000000,0.004539,20000
robustness_symbol,9,2,0.009628,0.003209,1.000000,5.000000,0.000000,0.000000,0.004539,20000
robustness_symbol,9,2,0.009628,0.003209,2.000000,5.000000,0.000000,0.000000,0.004539,20000
robustness_symbol,9,2,0.009628,0.003209,5.000000,5.000000,0.498800,0.003536,0.004539,20000
robustness_symbol,9,2,0.009628,0.003209,10.000000,5.000000,1.000000,0.000000,0.004539,20000
robustness_symbol,9,2,0.009628,0.003209,20.000000,5.000000,1.000000,0.000000,0.004539,20000
