grid_id,ppi_information_threshold_z,ppi_noise_threshold_z,recovery_information_min_ratio,recovery_noise_max_ratio,valid_scored_rows,baseline_computed_count,computed_count,information_count,noise_count,high_confidence_count,low_confidence_count,computed_relative_change,information_share,information_share_shift,baseline_computed_flip_count,baseline_computed_flip_rate,gridpoint_indicator,overall_scenario_indicator
001_ppi_i1.5_ppi_n0.5_rr_i1.15_rr_n1.02,1.500000,0.500000,1.150000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
002_ppi_i1.5_ppi_n0.5_rr_i1.15_rr_n1.05,1.500000,0.500000,1.150000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
003_ppi_i1.5_ppi_n0.5_rr_i1.15_rr_n1.1,1.500000,0.500000,1.150000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
004_ppi_i1.5_ppi_n0.5_rr_i1.25_rr_n1.02,1.500000,0.500000,1.250000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
005_ppi_i1.5_ppi_n0.5_rr_i1.25_rr_n1.05,1.500000,0.500000,1.250000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
006_ppi_i1.5_ppi_n0.5_rr_i1.25_rr_n1.1,1.500000,0.500000,1.250000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
007_ppi_i1.5_ppi_n0.5_rr_i1.35_rr_n1.02,1.500000,0.500000,1.350000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
008_ppi_i1.5_ppi_n0.5_rr_i1.35_rr_n1.05,1.500000,0.500000,1.350000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
009_ppi_i1.5_ppi_n0.5_rr_i1.35_rr_n1.1,1.500000,0.500000,1.350000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
010_ppi_i1.5_ppi_n0.75_rr_i1.15_rr_n1.02,1.500000,0.750000,1.150000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
011_ppi_i1.5_ppi_n0.75_rr_i1.15_rr_n1.05,1.500000,0.750000,1.150000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
012_ppi_i1.5_ppi_n0.75_rr_i1.15_rr_n1.1,1.500000,0.750000,1.150000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
013_ppi_i1.5_ppi_n0.75_rr_i1.25_rr_n1.02,1.500000,0.750000,1.250000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
014_ppi_i1.5_ppi_n0.75_rr_i1.25_rr_n1.05,1.500000,0.750000,1.250000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
015_ppi_i1.5_ppi_n0.75_rr_i1.25_rr_n1.1,1.500000,0.750000,1.250000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
016_ppi_i1.5_ppi_n0.75_rr_i1.35_rr_n1.02,1.500000,0.750000,1.350000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
017_ppi_i1.5_ppi_n0.75_rr_i1.35_rr_n1.05,1.500000,0.750000,1.350000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
018_ppi_i1.5_ppi_n0.75_rr_i1.35_rr_n1.1,1.500000,0.750000,1.350000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
019_ppi_i1.5_ppi_n1_rr_i1.15_rr_n1.02,1.500000,1.000000,1.150000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
020_ppi_i1.5_ppi_n1_rr_i1.15_rr_n1.05,1.500000,1.000000,1.150000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
021_ppi_i1.5_ppi_n1_rr_i1.15_rr_n1.1,1.500000,1.000000,1.150000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
022_ppi_i1.5_ppi_n1_rr_i1.25_rr_n1.02,1.500000,1.000000,1.250000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
023_ppi_i1.5_ppi_n1_rr_i1.25_rr_n1.05,1.500000,1.000000,1.250000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
024_ppi_i1.5_ppi_n1_rr_i1.25_rr_n1.1,1.500000,1.000000,1.250000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
025_ppi_i1.5_ppi_n1_rr_i1.35_rr_n1.02,1.500000,1.000000,1.350000,1.020000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
026_ppi_i1.5_ppi_n1_rr_i1.35_rr_n1.05,1.500000,1.000000,1.350000,1.050000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
027_ppi_i1.5_ppi_n1_rr_i1.35_rr_n1.1,1.500000,1.000000,1.350000,1.100000,48,46,48,36,12,16,32,0.043478,0.750000,0.010870,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
028_ppi_i2_ppi_n0.5_rr_i1.15_rr_n1.02,2.000000,0.500000,1.150000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
